ids,lon,lat,30yr_separation(km/day),30yr_separation(km/km)
148420703,-68.761909235280143,42.700401192267236,6.73,0.14
148420703,-68.774650374154973,42.645606428812201,5.68,0.21
148420703,-68.922302250859076,42.63027539421477,8.87,0.29
148420703,-69.074354954388468,42.771584525616184,10.81,0.34
148420703,-69.031629115796008,42.726325174885552,6.08,0.13
148420703,-69.145915817876485,42.787067103141382,5.37,0.24
148420703,-69.142070272787421,42.767314732511579,11.48,0.25
148420703,-69.310811850298464,42.742521065369822,13.60,0.47
148420703,-69.322189954978668,42.825812892897453,10.01,0.24
148420703,-69.193073666069353,42.829474283522856,11.65,0.34
148420703,-69.356520391420787,42.734479469594213,17.01,0.57
148420703,-69.298473522741034,42.812200759265231,4.58,0.11
148420703,-69.197668468774623,42.708297841750451,15.00,0.57
148420703,-69.075080048428333,42.707654131668079,7.05,0.26
148420703,-69.181106156137986,42.700981645109493,16.37,0.47
148420703,-69.305351406217227,42.791876609348535,10.72,0.57
148420703,-69.326282626175498,42.783436135747877,7.15,0.26
148420703,-69.20075935013341,42.678239816647022,16.03,0.63
148420703,-69.093766928096841,42.785323244868657,6.82,0.23
148420703,-68.88201131364319,42.372842297196158,7.30,0.39
148420703,-68.799714454602764,42.34182150158923,8.90,0.36
148420703,-68.770738952322901,42.259370720717122,14.83,0.51
148420703,-68.759705761208565,42.1444186046186,3.29,0.10
148420703,-68.678744391984679,42.219279753699865,10.80,0.35
148420703,-68.652081195090759,42.294541588186135,7.15,0.29
148420703,-68.655674401912989,42.486359726367724,17.48,0.50
148420703,-68.325906746016287,42.579115443457148,9.93,0.47
148420703,-67.587905351703768,42.478077780326934,7.01,0.28
148420703,-67.546064052421357,42.484541842454185,24.63,0.71
148420703,-67.914852313295029,42.255454934434624,10.88,0.35
148420703,-67.650360587777485,42.199470711514657,13.41,0.30
148420703,-67.204438017914924,42.136834279087445,5.89,0.08
148420703,-65.42438745979814,41.29628109190277,26.60,0.99
148420703,-65.489696349240134,41.135743306370173,19.30,0.88
156420702,-69.867002481003453,42.20720027160251,11.12,0.44
156420702,-69.887029355329844,42.220554590349877,10.70,0.32
156420702,-69.860843302209076,42.121548656387219,16.25,0.65
156420702,-69.870344659275545,42.020818686809832,7.52,0.21
156420702,-69.76339450197851,42.012783485015888,8.27,0.26
156420702,-69.6262629506964,41.827626512143631,6.63,0.24
156420702,-69.582861372172033,41.688172865799793,6.16,0.19
156420702,-69.425823431514829,41.60067993078718,3.93,0.09
156420702,-69.318843945431254,41.557167666587659,1.79,0.05
156420702,-69.288103193929544,41.575653046780793,3.10,0.07
156420702,-69.173789319945001,41.557269972110049,6.08,0.17
156420702,-69.076499420261442,41.606633071918132,10.07,0.24
156420702,-68.830479057254266,41.549532853610387,6.12,0.12
156420702,-68.834327983427869,41.497396876713267,12.37,0.42
156420702,-68.728010843100222,41.465208531881999,9.82,0.30
156420702,-68.770906224060511,41.409272955503475,2.32,0.10
156420702,-68.867264026196906,41.507865604338093,3.95,0.10
156420702,-68.764573985769843,41.545647485542446,2.56,0.10
156420702,-68.63694269109611,41.617630461570009,18.21,0.93
156420702,-68.594570104441786,41.612081836405849,17.88,0.60
156420702,-68.499575733858691,41.671460760524774,27.73,1.80
156420702,-68.474009803289348,41.688038415862216,9.98,0.22
156420702,-68.348232801961046,41.762262291445239,13.87,0.46
156420702,-68.118080650951185,41.835949157552733,18.46,0.38
156420702,-67.72431605027711,41.879825540821564,14.89,0.20
156420702,-67.684840635299309,41.897132141198128,14.48,0.21
156420702,-67.645474311315269,41.97235166108112,17.06,0.22
156420702,-67.592166814389628,41.972000938475368,14.59,0.20
156420702,-67.423842476032959,41.838568839586685,5.74,0.08
156420702,-67.360643867446129,41.73393768516096,14.04,0.23
156420702,-67.299572845305079,41.690711190907628,5.48,0.08
156420702,-67.162623145316189,41.619577439253504,1.76,0.03
156420702,-67.116514497086158,41.573203449174756,1.89,0.03
156420702,-67.089602169348169,41.579441592846507,11.29,0.16
156420702,-67.08913409829978,41.416529132432345,10.36,0.15
156420702,-67.141803973398865,41.223231297503204,4.32,0.08
156420702,-67.30417065258851,41.18314982997542,13.08,0.22
156420702,-67.453538743092864,41.164007240205066,15.37,0.25
156420702,-67.569087478952412,41.156555831982054,6.95,0.12
156420702,-67.688869898161286,41.178247199030949,5.54,0.10
156420702,-67.734857506232444,41.103039008714532,4.04,0.08
